phase_ns,object,q,slot,lower,upper
0,muon,0.001,2197,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2198,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2199,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2200,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2201,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2202,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2203,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2204,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2205,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2206,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2207,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2208,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2209,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2210,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2211,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2212,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2220,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,2221,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2222,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2223,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2224,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2225,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2226,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2227,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2228,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2229,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2230,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2231,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2232,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2233,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2234,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2235,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2236,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2237,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2238,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2239,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2240,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2241,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2242,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2243,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2244,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2245,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2246,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2247,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2248,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2249,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2250,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2251,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2252,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2253,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2254,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2255,0.00018300303517229064,0.0007476343510087484
0,muon,0.01,1,0,0
0,muon,0.01,2,0,0
0,muon,0.01,3,0,0
0,muon,0.01,4,0,0
0,muon,0.01,5,0,0
0,muon,0.01,6,0,0
0,muon,0.01,7,0,0
0,muon,0.01,8,0,0
0,muon,0.01,9,0,0
0,muon,0.01,10,0,0
0,muon,0.01,11,0,0
0,muon,0.01,12,0,0
0,muon,0.01,86,0.0018300303517229067,0.0018300303517229067
0,muon,0.01,302,0.0018300303517229067,0.003858239600071416
0,muon,0.01,303,0.0018300303517229067,0.0056739867880735585
0,muon,0.01,304,0.0018300303517229067,0.007372790573111944
0,muon,0.01,305,0.0018300303517229067,0.008935011605070523
0,muon,0.01,306,0.0018300303517229067,0.009502767362970899
0,muon,0.01,307,0.0018300303517229067,0.009285841813961793
0,muon,0.01,308,0.0018300303517229067,0.008410998036064989
0,muon,0.01,309,0.0018300303517229067,0.007476343510087485
0,muon,0.01,314,0.0018300303517229067,0.0038600249955365114
0,muon,0.01,315,0.0018300303517229067,0.0056739867880735585
0,muon,0.01,316,0.0018300303517229067,0.007372790573111944
0,muon,0.01,317,0.0018300303517229067,0.008935011605070523
0,muon,0.01,318,0.0018300303517229067,0.009502767362970899
0,muon,0.01,319,0.0018300303517229067,0.009285841813961793
0,muon,0.01,320,0.0018300303517229067,0.008410998036064989
0,muon,0.01,321,0.0018300303517229067,0.007476343510087485
0,muon,0.01,326,0.0018300303517229067,0.0038600249955365114
0,muon,0.01,327,0.0018300303517229067,0.0056739867880735585
0,muon,0.01,328,0.0018300303517229067,0.007372790573111944
